amendment,amendment_label,rank,score,chunk_id,document_id,title,author,date,source_collection,source_url,preview
1,First Amendment,1,10,jefferson_writings_vol_9_0031,jefferson_writings_vol_9,"The Writings of Thomas Jefferson, Volume 9",Thomas Jefferson,1816-1826,founders_correspondence,https://www.gutenberg.org/cache/epub/56578/pg56578.txt,"All orders of the House determine with the session; and one taken under such an order may, after the session is ended, be discharged on a Habeas Corpus.--_Raym._ 120; _Jacob's L. D. by Ruffhead_; _Parliament_, 1 _Lev._ 165, _Prichard's case_. ..."
1,First Amendment,2,6,north_carolina_ratification_1789_0002,north_carolina_ratification_1789,North Carolina Ratification and Declaration of Rights,North Carolina Convention,1789-11-21,anti_federalist,https://avalon.law.yale.edu/18th_century/ratnc.asp,"14. That every freeman has a right to be secure from all unreasonable searches, and seizures of his person, his papers, and property: all warrants therefore to search suspected places, or seize any freeman, his papers or property, without information ..."
1,First Amendment,3,6,bill_of_rights_original_text_1791_0000,bill_of_rights_original_text_1791,Bill of Rights - Original Text,United States Congress,1791-12-15,bill_of_rights,https://www.archives.gov/founding-docs/bill-of-rights-transcript,"THE BILL OF RIGHTS United States of America Ratified December 15, 1791 AMENDMENT I Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; ..."
1,First Amendment,4,6,madison_letters_vol_4_0612,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"This branch of the subject will be closed with a reflection which must have weight with all, but more especially with those who place peculiar reliance on the judicial exposition of the Constitution as the bulwark provided against un- due ..."
1,First Amendment,5,6,washington_writings_vol_2_0384,washington_writings_vol_2,"The Writings of George Washington, Volume 2",George Washington,1745-1799,founders_correspondence,https://archive.org/download/georgefordworth02washrich/georgefordworth02washrich_djvu.txt,"As to the resolution for addressing the throne, I own to you, Sir, I think the whole might as well have been expunged. I expect nothing from the measure, nor should my voice have accompanied it, if the non importation ..."
1,First Amendment,6,6,jefferson_writings_vol_5_0392,jefferson_writings_vol_5,"The Writings of Thomas Jefferson, Volume 5",Thomas Jefferson,1793-1798,founders_correspondence,https://www.gutenberg.org/cache/epub/53767/pg53767.txt,"SIR,--You will perceive in the enclosed petitions, a request that I will lay them before Congress. This I cannot do consistently with my own opinion of propriety, because where the petitioners have a right to petition their immediate representatives in ..."
1,First Amendment,7,6,jefferson_writings_vol_9_0519,jefferson_writings_vol_9,"The Writings of Thomas Jefferson, Volume 9",Thomas Jefferson,1816-1826,founders_correspondence,https://www.gutenberg.org/cache/epub/56578/pg56578.txt,"3. _Resolved_, That it is true as a general principle, and is also expressly declared by one of the amendments to the Constitution, that ""the powers not delegated to the United States by the Constitution, nor prohibited by it to ..."
1,First Amendment,8,5,virginia_ratification_1788_0003,virginia_ratification_1788,Virginia Ratification and Recommended Amendments,Virginia Ratifying Convention,1788-06-26,anti_federalist,https://avalon.law.yale.edu/18th_century/ratva.asp,"between man and man, the ancient trial by Jury is one of the greatest Securities to the rights of the people, and ought to remain sacred and inviolable. Twelfth. That every freeman ought to find a certain remedy by recourse ..."
1,First Amendment,9,5,madison_letters_vol_4_0626,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"Here is an express and solemn declaration by the Convention of the State, that they ratified the Constitution in the sense that no right of any denomina- tion can be cancelled, abridged, restrained, or modified, by the Government of the ..."
1,First Amendment,10,5,madison_letters_vol_4_0627,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"Secondly. They are both equally secured by the supplement to the Consti- tution, being both included in the same amendment, made at the same time, and by the same authority. Any construction or argument, then, which would turn the amendment ..."
1,First Amendment,11,5,hamilton_works_vol_1_0113,hamilton_works_vol_1,"The Works of Alexander Hamilton, Volume 1",Alexander Hamilton,1769-1804,founders_correspondence,https://archive.org/download/alexanderworksof01hamirich/alexanderworksof01hamirich_djvu.txt,"said act would be attended with many inconveniences, and may be productive of consequences greatly detri mental to the commercial interests of Great Britain: May it therefore please your most excellent Majesty, by and with the advice and consent, etc., ..."
1,First Amendment,12,5,hamilton_works_vol_10_0043,hamilton_works_vol_10,"The Works of Alexander Hamilton, Volume 10",Alexander Hamilton,1769-1804,founders_correspondence,https://archive.org/download/ofalexander10hamirich/ofalexander10hamirich_djvu.txt,"It is regretted that the affair has assumed too much a party complexion. This suggests an in quiry whether there be not some third character competent, eligible, and who would not be liable to a similar difficulty. The more speedy ..."
1,First Amendment,13,5,jefferson_writings_vol_8_0410,jefferson_writings_vol_8,"The Writings of Thomas Jefferson, Volume 8",Thomas Jefferson,1807-1815,founders_correspondence,https://www.gutenberg.org/cache/epub/56313/pg56313.txt,"The mode of acquiring lands, in the earliest times of our settlement, was by petition to the general assembly. If the lands prayed for were already cleared of the Indian title, and the assembly thought the prayer reasonable, they passed ..."
1,First Amendment,14,4,new_york_ratification_1788_0002,new_york_ratification_1788,New York Ratification and Circular Letter,New York Ratifying Convention,1788-07-26,anti_federalist,https://avalon.law.yale.edu/18th_century/ratny.asp,"That (except in the Government of the Land and Naval Forces, and of the Militia when in actual Service, and in cases of Impeachment) a Presentment or Indictment by a Grand Jury ought to be observed as a necessary preliminary ..."
1,First Amendment,15,4,congressional_debates_bill_of_rights_1789_0000,congressional_debates_bill_of_rights_1789,Congressional Debates on the Bill of Rights,United States Congress,1789,bill_of_rights,https://memory.loc.gov/ammem/amlaw/lwac.html,"CONGRESSIONAL DEBATES ON THE BILL OF RIGHTS 1789 LEGISLATIVE TIMELINE AND PROCESS JUNE 8, 1789: MADISON'S INTRODUCTION On June 8, 1789, James Madison introduced his proposed amendments to the House of Representatives. His initial proposals consisted of nine amendment articles, ..."
1,First Amendment,16,4,farrand_records_vol_1_0686,farrand_records_vol_1,"The Records of the Federal Convention of 1787, Volume 1",Max Farrand,1787-05-25/1787-07-26,farrands_records,https://archive.org/download/recordsfederalc00farrgoog/recordsfederalc00farrgoog_djvu.txt,"of the United States to assemble in Convention at the Gty of Phil- adelphia in the Month of May next or as soon thereafter as may be, and to join with such Deputies or Commissioners (they being duly authorized and ..."
1,First Amendment,17,4,farrand_records_vol_1_0707,farrand_records_vol_1,"The Records of the Federal Convention of 1787, Volume 1",Max Farrand,1787-05-25/1787-07-26,farrands_records,https://archive.org/download/recordsfederalc00farrgoog/recordsfederalc00farrgoog_djvu.txt,"(The 5th article, declaring that individual States shall not exer- cise certain powers, is founded on the same principles as the 6th of the confederation.) No State to make Treaties — lay interfering Duties — keep a naval or land ..."
1,First Amendment,18,4,farrand_records_vol_2_0691,farrand_records_vol_2,"The Records of the Federal Convention of 1787, Volume 2",Max Farrand,1787-07-27/1787-09-17,farrands_records,https://archive.org/download/recordsfederalc01farrgoog/recordsfederalc01farrgoog_djvu.txt,"of the United States to assemble in Convention at the City of Phil- adelphia in the Month of May next or as soon thereafter as may be, and to join with such Deputies or Commissioners (they being duly authorized and ..."
1,First Amendment,19,4,farrand_records_vol_2_0712,farrand_records_vol_2,"The Records of the Federal Convention of 1787, Volume 2",Max Farrand,1787-07-27/1787-09-17,farrands_records,https://archive.org/download/recordsfederalc01farrgoog/recordsfederalc01farrgoog_djvu.txt,"(The 5th article, declaring that individual States shall not exer- cise certain powers, is founded on the same principles as the 6th of the confederation.) No State to make Treaties — lay interfering Duties — keep a naval or land ..."
1,First Amendment,20,4,farrand_records_vol_3_0691,farrand_records_vol_3,"The Records of the Federal Convention of 1787, Volume 3",Max Farrand,1787-02-21/1787-09-17,farrands_records,https://archive.org/download/in.ernet.dli.2015.58320/2015.58320.The-Records-Of-The-Federal-Convention-Of-1787-Volume-Iii_djvu.txt,APPENDIX B of the United States to assemble in Convention at the City of Phil- adelphia in the Month of May next or as soon thereafter as may be and to join with such Deputies or Commissioners (they being duly ...
1,First Amendment,21,4,farrand_records_vol_3_0712,farrand_records_vol_3,"The Records of the Federal Convention of 1787, Volume 3",Max Farrand,1787-02-21/1787-09-17,farrands_records,https://archive.org/download/in.ernet.dli.2015.58320/2015.58320.The-Records-Of-The-Federal-Convention-Of-1787-Volume-Iii_djvu.txt,"3 Pinckney was opposed to impeachment on July 20. See Records of that date. 4 Confirmed by Observations. Cf. Records of June 6. APPENDIX D 607 criminal offender shall be complied with. It is now confined to treason, felony, or ..."
1,First Amendment,22,4,madison_letters_vol_1_0556,madison_letters_vol_1,"Letters and Other Writings of James Madison, Volume 1",James Madison,1769-1793,founders_correspondence,https://archive.org/download/lettersandotherw01madiiala/lettersandotherw01madiiala_djvu.txt,"The petition relating to the Militia bill contains nothing that makes it improper for me to present it. I shall, therefore, read- ily comply with your desire on that subject. I am not satisfied that I am equally at liberty ..."
1,First Amendment,23,4,madison_letters_vol_2_0127,madison_letters_vol_2,"Letters and Other Writings of James Madison, Volume 2",James Madison,1794-1815,founders_correspondence,https://archive.org/download/lettersandotherw02madiiala/lettersandotherw02madiiala_djvu.txt,"Resolutions have passed for carrying into effect the Spanish, Indian, and Algerine Treaties. The British is now depending. I inclose the proposition in which the opponents of it will unite. According to present calculation, this proposition will be car- ried ..."
1,First Amendment,24,4,madison_letters_vol_4_0614,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"the Executive, is under limitations of power. Encroachments are regarded as possible from the one as well as from the other. Hence, in the United States the great and essential rights of the people are secured against legislative as ■well ..."
1,First Amendment,25,4,hamilton_works_vol_1_0112,hamilton_works_vol_1,"The Works of Alexander Hamilton, Volume 1",Alexander Hamilton,1769-1804,founders_correspondence,https://archive.org/download/alexanderworksof01hamirich/alexanderworksof01hamirich_djvu.txt,"They solicited the king for a redress of grievances, but justly concluding from past experience, from the behavior and declarations of the majority in both Houses of Parliament, and from the known character and avowed designs of the minister, that ..."
1,First Amendment,26,4,hamilton_works_vol_6_0331,hamilton_works_vol_6,"The Works of Alexander Hamilton, Volume 6",Alexander Hamilton,1769-1804,founders_correspondence,https://archive.org/download/ofalexander06hamirich/ofalexander06hamirich_djvu.txt,"P. S. — In five minutes I set out for Philadelphia. MILITARY PAPERS MILITARY PAPERS MILITARY PEACE ESTABLISHMENT f 1783- BEFORE any plan can, with propriety, be deter mined or a military peace establishment, it is necessary to ascertain what ..."
1,First Amendment,27,4,washington_writings_vol_2_0395,washington_writings_vol_2,"The Writings of George Washington, Volume 2",George Washington,1745-1799,founders_correspondence,https://archive.org/download/georgefordworth02washrich/georgefordworth02washrich_djvu.txt,"When I have considered these Disputes I have often wished to know the sen timents of the first settlers here. In Capt. Smith's History there is mention of Taxes by the Parliament, and some one in Virginia makes the same ..."
1,First Amendment,28,4,jefferson_writings_vol_5_0360,jefferson_writings_vol_5,"The Writings of Thomas Jefferson, Volume 5",Thomas Jefferson,1793-1798,founders_correspondence,https://www.gutenberg.org/cache/epub/53767/pg53767.txt,"SIR,--In answer to the petition which you delivered me from the officers of merchant vessels belonging to Philadelphia, I must premise my sincere regret at the sacrifices which our fellow citizens generally, and the petitioners in particular, have been obliged ..."
1,First Amendment,29,4,jefferson_writings_vol_5_0366,jefferson_writings_vol_5,"The Writings of Thomas Jefferson, Volume 5",Thomas Jefferson,1793-1798,founders_correspondence,https://www.gutenberg.org/cache/epub/53767/pg53767.txt,"DEAR SIR,--Your two letters of the 2d instant were read yesterday afternoon, and I now return you Penniman's and Gray's papers, and the New Orleans petition. Penniman's conduct deserves marked approbation, and there should be no hesitation about the expenses ..."
1,First Amendment,30,4,jefferson_writings_vol_5_0368,jefferson_writings_vol_5,"The Writings of Thomas Jefferson, Volume 5",Thomas Jefferson,1793-1798,founders_correspondence,https://www.gutenberg.org/cache/epub/53767/pg53767.txt,"I put entirely out of sight, as having no bearing on this case, everything which passed prior to the receipt of the circular of July 1st, and consider the case as beginning _de novo_ then, and under that circular. The ..."
2,Second Amendment,1,13,madison_letters_vol_3_0043,madison_letters_vol_3,"Letters and Other Writings of James Madison, Volume 3",James Madison,1816-1828,founders_correspondence,https://archive.org/download/lettersotherwrit03madi/lettersotherwrit03madi_djvu.txt,"tt ti ii It ii ii M it ii CONTENTS OF VOL. III. xli PAGE. 1824. — Continued. President Madison to Secretary of State. June 3, 1814 . . - 403 "" "" '' Secretary of the Treasury. June 3, ..."
2,Second Amendment,2,11,henry_speeches_virginia_1788_0380,henry_speeches_virginia_1788,Patrick Henry — Speeches at the Virginia Ratifying Convention (June 1788),Patrick Henry,1788-06-04/1788-06-25,anti_federalist,https://avalon.law.yale.edu/18th_century/henry.asp,"the great thing to be dreaded is that, during an insurrection, the militia will be called out from the state. This is his kind of argument. Is it possible that, at such a time, the general government would order the ..."
2,Second Amendment,3,11,farrand_records_vol_1_0244,farrand_records_vol_1,"The Records of the Federal Convention of 1787, Volume 1",Max Farrand,1787-05-25/1787-07-26,farrands_records,https://archive.org/download/recordsfederalc00farrgoog/recordsfederalc00farrgoog_djvu.txt,"[54] For this extraordinary provision, by which the militia^ the only defence and protection which the State can have for the security of their rights against arbitrary encroachments of the general govern- ment, is taken entirely out of the power ..."
2,Second Amendment,4,11,farrand_records_vol_2_0244,farrand_records_vol_2,"The Records of the Federal Convention of 1787, Volume 2",Max Farrand,1787-07-27/1787-09-17,farrands_records,https://archive.org/download/recordsfederalc01farrgoog/recordsfederalc01farrgoog_djvu.txt,"[54] For this extraordinary provision, by which the militia^ the only defence and protection which the State can have for the security of their rights against arbitrary encroachments of the general govern^ ment, is taken entirely out of the power ..."
2,Second Amendment,5,11,farrand_records_vol_3_0244,farrand_records_vol_3,"The Records of the Federal Convention of 1787, Volume 3",Max Farrand,1787-02-21/1787-09-17,farrands_records,https://archive.org/download/in.ernet.dli.2015.58320/2015.58320.The-Records-Of-The-Federal-Convention-Of-1787-Volume-Iii_djvu.txt,"[54] For this extraordinary provision, by which the militia , the only defence and protection which the State can have for the security of their rights against arbitrary encroachments of the general govern- ment , is taken entirely out of ..."
2,Second Amendment,6,11,madison_debates_complete_avalon_0502,madison_debates_complete_avalon,Madison Debates Complete Avalon Collection,James Madison,1787-05-14/1787-09-17,madisons_notes,https://avalon.law.yale.edu/subject_menus/debcont.asp,"Mr. ELSEWORTH was for going as far in submitting the militia to the Genl. Government as might be necessary, but thought the motion of Mr. Mason went too far. He moved that the militia should have the same arms & ..."
2,Second Amendment,7,10,congressional_debates_bill_of_rights_1789_0001,congressional_debates_bill_of_rights_1789,Congressional Debates on the Bill of Rights,United States Congress,1789,bill_of_rights,https://memory.loc.gov/ammem/amlaw/lwac.html,"SECOND AMENDMENT - RIGHT TO BEAR ARMS Madison's original formulation stated: ""The right of the people to keep and bear arms shall not be infringed; a well armed and well regulated militia being the best security of a free country: ..."
2,Second Amendment,8,10,madison_letters_vol_3_0044,madison_letters_vol_3,"Letters and Other Writings of James Madison, Volume 3",James Madison,1816-1828,founders_correspondence,https://archive.org/download/lettersotherwrit03madi/lettersotherwrit03madi_djvu.txt,"President Madison to Secretary Armstrong. August 10, 1814 - - 415 President Madison's note to Secretary Armstrong on letters, &c., with a memorandum of the Secretary. August 12, 1814 . - - 416 President Madison's note to Secretary Armstrong on ..."
2,Second Amendment,9,9,farrand_records_vol_1_0123,farrand_records_vol_1,"The Records of the Federal Convention of 1787, Volume 1",Max Farrand,1787-05-25/1787-07-26,farrands_records,https://archive.org/download/recordsfederalc00farrgoog/recordsfederalc00farrgoog_djvu.txt,"The exclusive right of establishing regulations for the Govern- ment of the Militia of the United States, ought certainly to be ve8[t]ed in the Federal Councils. As standing Armies are contrary to the Constitutions of most of the States, and ..."
2,Second Amendment,10,9,farrand_records_vol_1_0245,farrand_records_vol_1,"The Records of the Federal Convention of 1787, Volume 1",Max Farrand,1787-05-25/1787-07-26,farrands_records,https://archive.org/download/recordsfederalc00farrgoog/recordsfederalc00farrgoog_djvu.txt,"an open avowal of those reasons, by which we believed before that they were actuated. They said, that, as the States would be opposed to the general government, and at enmity with it, which, as I have already observed, they ..."
2,Second Amendment,11,9,farrand_records_vol_2_0123,farrand_records_vol_2,"The Records of the Federal Convention of 1787, Volume 2",Max Farrand,1787-07-27/1787-09-17,farrands_records,https://archive.org/download/recordsfederalc01farrgoog/recordsfederalc01farrgoog_djvu.txt,"The exclusive right of establishing regulations for the Govern- ment of the Militia of the United States, ought certainly to be ve8[t]ed in the Federal Councils. As standing Armies are contrary to the Constitutions of most of the States, and ..."
2,Second Amendment,12,9,farrand_records_vol_2_0245,farrand_records_vol_2,"The Records of the Federal Convention of 1787, Volume 2",Max Farrand,1787-07-27/1787-09-17,farrands_records,https://archive.org/download/recordsfederalc01farrgoog/recordsfederalc01farrgoog_djvu.txt,"an open avowal of those reasons, by which we believed before that they were actuated. They said, that, as the States would be opposed to the general government, and at enmity with it, which, as I have already observed, they ..."
2,Second Amendment,13,9,farrand_records_vol_3_0123,farrand_records_vol_3,"The Records of the Federal Convention of 1787, Volume 3",Max Farrand,1787-02-21/1787-09-17,farrands_records,https://archive.org/download/in.ernet.dli.2015.58320/2015.58320.The-Records-Of-The-Federal-Convention-Of-1787-Volume-Iii_djvu.txt,"The exclusive right of establishing regulations for the Govern- ment of the Militia of the United States, ought certainly to be ves[t]ed in the Federal Councils. As standing Armies are contrary to the Constitutions of most of the States, and ..."
2,Second Amendment,14,9,farrand_records_vol_3_0245,farrand_records_vol_3,"The Records of the Federal Convention of 1787, Volume 3",Max Farrand,1787-02-21/1787-09-17,farrands_records,https://archive.org/download/in.ernet.dli.2015.58320/2015.58320.The-Records-Of-The-Federal-Convention-Of-1787-Volume-Iii_djvu.txt,"an open avowal of those reasons, by which we believed before that they were actuated. They said, that, as the States would be opposed to the general government, and at enmity with it, which, as I have already observed, they ..."
2,Second Amendment,15,9,madison_debates_complete_avalon_0534,madison_debates_complete_avalon,Madison Debates Complete Avalon Collection,James Madison,1787-05-14/1787-09-17,madisons_notes,https://avalon.law.yale.edu/subject_menus/debcont.asp,N. H. no. Mas no. Ct. no. N. J. ay. P. no. Del. no. Maryd. ay. Va. no. N. C. no. S. C. no. Geo. ay. Mr. ELSWORTH & Mr. SHERMAN moved to postpone the 2d. clause in favor of ...
