amendment,amendment_label,rank,score,country,world_chunk_id,world_document_id,world_title,source_url,preview
1,First Amendment,1,0.35107255,United States of America,world_constitution_united_states_of_america_1992_article_v_003_0001,world_constitution_united_states_of_america_1992_article_v_003,United States of America's Constitution of 1789 with Amendments through 1992 - Article V,https://www.constituteproject.org/service/html?cons_id=United_States_of_America_1992&lang=en,"concurring, that the following Articles be proposed to the Legislatures of the several States, as Amendments to the Constitution of the United States, all or any of which Articles, when ratified by three fourths of the said Legislatures, to be ..."
1,First Amendment,2,0.32682628,Philippines,world_constitution_philippines_1987_article_i_003_0000,world_constitution_philippines_1987_article_i_003,Philippines's Constitution of 1987 - Article I,https://www.constituteproject.org/service/html?cons_id=Philippines_1987&lang=en,"ARTICLE III. BILL OF RIGHTS Sec 1 No person shall be deprived of life, liberty, or property without due process of law, nor shall any person be denied the equal protection of the laws. Sec 2 The right of the ..."
1,First Amendment,3,0.24044873,Korea (Republic of),world_constitution_republic_of_korea_1987_article_21_0000,world_constitution_republic_of_korea_1987_article_21,Korea (Republic of)'s Constitution of 1948 with Amendments through 1987 - Article 21,https://www.constituteproject.org/service/html?cons_id=Republic_of_Korea_1987&lang=en,"Article 21 All citizens shall enjoy freedom of speech and the press, and freedom of assembly and association. Licensing or censorship of speech and the press, and licensing of assembly and association shall not be recognized. The standards of news ..."
1,First Amendment,4,0.21455757,Gambia (The),world_constitution_gambia_2018_preamble_0012,world_constitution_gambia_2018_preamble,Gambia (The)'s Constitution of 1996 with Amendments through 2018 - Preamble,https://www.constituteproject.org/service/html?cons_id=Gambia_2018&lang=en,No person charged with a criminal offence shall be compelled to give evidence at the trial. A person charged with a criminal offence in the High Court shall have the right to elect to be tried by a jury. Nothing ...
1,First Amendment,5,0.21259453,Eritrea,world_constitution_eritrea_1997_article_19_0000,world_constitution_eritrea_1997_article_19,Eritrea's Constitution of 1997 - Article 19,https://www.constituteproject.org/service/html?cons_id=Eritrea_1997&lang=en,"Article 19. Freedom of Conscience, Religion, Expression of Opinion, Movement, Assembly and Organization Every person shall have the right to freedom of thought, conscience and belief. Every person shall have the freedom of speech and expression, including freedom of the ..."
1,First Amendment,6,0.21047996,Hungary,world_constitution_hungary_2016_article_i_004_0000,world_constitution_hungary_2016_article_i_004,Hungary's Constitution of 2011 with Amendments through 2016 - Article I,https://www.constituteproject.org/service/html?cons_id=Hungary_2016&lang=en,"Article IX Everyone shall have the right to freedom of speech. Hungary shall recognise and protect the freedom and diversity of the press, and shall ensure the conditions for free dissemination of information necessary for the formation of democratic public ..."
1,First Amendment,7,0.20038037,Samoa,world_constitution_samoa_2017_preamble_0003,world_constitution_samoa_2017_preamble,Samoa's Constitution of 1962 with Amendments through 2017 - Preamble,https://www.constituteproject.org/service/html?cons_id=Samoa_2017&lang=en,No person shall be held guilty of any offence on account of any act or omission which did not constitute an offence at the time when it was committed; nor shall a heavier penalty be imposed than the one that ...
1,First Amendment,8,0.19695311,Tonga,world_constitution_tonga_2013_preamble_0001,world_constitution_tonga_2013_preamble,Tonga's Constitution of 1875 with Amendments through 2013 - Preamble,https://www.constituteproject.org/service/html?cons_id=Tonga_2013&lang=en,All men are free to practise their religion and to worship God as they may deem fit in accordance with the dictates of their own consciences and to assemble for religious service in such places as they may appoint. But ...
1,First Amendment,9,0.19496069,Ethiopia,world_constitution_ethiopia_1994_article_30_0000,world_constitution_ethiopia_1994_article_30,Ethiopia's Constitution of 1994 - Article 30,https://www.constituteproject.org/service/html?cons_id=Ethiopia_1994&lang=en,"Article 30. The Right of Assembly, Demonstration and Petition Everyone has the right to assemble and to demonstrate together with others peaceably and unarmed, and to petition. Appropriate regulations may be made in the interest of public convenience relating to ..."
1,First Amendment,10,0.19336576,Namibia,world_constitution_namibia_2014_article_21_0000,world_constitution_namibia_2014_article_21,Namibia's Constitution of 1990 with Amendments through 2014 - Article 21,https://www.constituteproject.org/service/html?cons_id=Namibia_2014&lang=en,"Article 21. Fundamental Freedoms All persons shall have the right to: freedom of speech and expression, which shall include freedom of the press and other media; freedom of thought, conscience and belief, which shall include academic freedom in institutions of ..."
1,First Amendment,11,0.19251257,Zimbabwe,world_constitution_zimbabwe_2017_preamble_0013,world_constitution_zimbabwe_2017_preamble,Zimbabwe's Constitution of 2013 with Amendments through 2017 - Preamble,https://www.constituteproject.org/service/html?cons_id=Zimbabwe_2017&lang=en,"The State must take reasonable legislative and other measures to promote the achievement of equality and to protect or advance people or classes of people who have been disadvantaged by unfair discrimination, and-- such measures must be taken to redress ..."
1,First Amendment,12,0.18792826,Croatia,world_constitution_croatia_2013_article_38_0000,world_constitution_croatia_2013_article_38,Croatia's Constitution of 1991 with Amendments through 2013 - Article 38,https://www.constituteproject.org/service/html?cons_id=Croatia_2013&lang=en,"Article 38 Freedom of thought and expression shall be guaranteed. Freedom of expression shall specifically include freedom of the press and other media of communication, freedom of speech and public expression, and free establishment of all institutions of public communication. ..."
1,First Amendment,13,0.18551484,Tanzania (United Republic of),world_constitution_tanzania_2005_article_section_0000,world_constitution_tanzania_2005_article_section,Tanzania (United Republic of)'s Constitution of 1977 with Amendments through 2005 - Article section,https://www.constituteproject.org/service/html?cons_id=Tanzania_2005&lang=en,"Article 17. Right to freedom of movement Every citizen of the United Republic has the right to freedom of movement in the United Republic and the right to live in any part of the United Republic, to leave and enter ..."
1,First Amendment,14,0.18088273,Liberia,world_constitution_liberia_1986_article_14_0000,world_constitution_liberia_1986_article_14,Liberia's Constitution of 1986 - Article 14,https://www.constituteproject.org/service/html?cons_id=Liberia_1986&lang=en,"Article 14 All persons shall be entitled to freedom of thought, conscience and religion and no person shall be hindered in the enjoyment thereof except as may be required by law to protect public safety, order, health, or morals or ..."
1,First Amendment,15,0.17642703,Marshall Islands,world_constitution_marshall_islands_1995_article_i_002_0000,world_constitution_marshall_islands_1995_article_i_002,Marshall Islands's Constitution of 1979 with Amendments through 1995 - Article I,https://www.constituteproject.org/service/html?cons_id=Marshall_Islands_1995&lang=en,"ARTICLE II. BILL OF RIGHTS Section 1. Freedom of Thought, Speech, Assembly, Association, and Petition Every person has the right to freedom of thought, conscience, and belief; to freedom of speech and of the press; to the free exercise of ..."
1,First Amendment,16,0.17566978,Pakistan,world_constitution_pakistan_2018_article_270_0001,world_constitution_pakistan_2018_article_270,"Pakistan's Constitution of 1973, Reinstated in 2002, with Amendments through 2018 - Article 270",https://www.constituteproject.org/service/html?cons_id=Pakistan_2018&lang=en,"or is operating in a manner prejudicial to the sovereignty or integrity of Pakistan, the Federal Government shall, within fifteen days of such declaration, refer the matter to the Supreme Court whose decision on such reference shall be final. Every ..."
1,First Amendment,17,0.17510656,Palau,world_constitution_palau_1992_article_i_004_0000,world_constitution_palau_1992_article_i_004,Palau's Constitution of 1981 with Amendments through 1992 - Article I,https://www.constituteproject.org/service/html?cons_id=Palau_1992&lang=en,"ARTICLE IV. FUNDAMENTAL RIGHTS Section 1 The government shall take no action to deny or impair the freedom of conscience or of philosophical or religious belief of any person nor take any action to compel, prohibit or hinder the exercise ..."
1,First Amendment,18,0.17412458,United Kingdom,world_constitution_united_kingdom_2013_article_9_002_0000,world_constitution_united_kingdom_2013_article_9_002,United Kingdom's Constitution of 1215 with Amendments through 2013 - Article 9,https://www.constituteproject.org/service/html?cons_id=United_Kingdom_2013&lang=en,"Article 9. Freedom of thought, conscience and religion Everyone has the right to freedom of thought, conscience and religion; this right includes freedom to change his religion or belief and freedom, either alone or in community with others and in ..."
1,First Amendment,19,0.17369036,Paraguay,world_constitution_paraguay_2011_article_26_0000,world_constitution_paraguay_2011_article_26,Paraguay's Constitution of 1992 with Amendments through 2011 - Article 26,https://www.constituteproject.org/service/html?cons_id=Paraguay_2011&lang=en,"Article 26. Of the Freedom of Expression and of the Press The free expression and the freedom of the press are guaranteed as well as the diffusion of thoughts and of opinions, without any censorship, with no other limitations than ..."
1,First Amendment,20,0.1729061,Eswatini,world_constitution_swaziland_2005_preamble_0012,world_constitution_swaziland_2005_preamble,Eswatini's Constitution of 2005 - Preamble,https://www.constituteproject.org/service/html?cons_id=Swaziland_2005&lang=en,"authorises, for the purposes of enforcing the judgement or order of a court in any civil proceedings, the entry upon any premises by order of a court, except so far as, in respect of paragraph (c) or (d) that provision ..."
1,First Amendment,21,0.166354,Singapore,world_constitution_singapore_2016_article_section_002_0000,world_constitution_singapore_2016_article_section_002,Singapore's Constitution of 1963 with Amendments through 2016 - Article section,https://www.constituteproject.org/service/html?cons_id=Singapore_2016&lang=en,"Article 11. Protection against retrospective criminal laws and repeated trials No person shall be punished for an act or omission which was not punishable by law when it was done or made, and no person shall suffer greater punishment for ..."
1,First Amendment,22,0.1662841,Kosovo,world_constitution_kosovo_2016_article_38_0000,world_constitution_kosovo_2016_article_38,Kosovo's Constitution of 2008 with Amendments through 2016 - Article 38,https://www.constituteproject.org/service/html?cons_id=Kosovo_2016&lang=en,"Article 38. Freedom of Belief, Conscience and Religion Freedom of belief, conscience and religion is guaranteed. Freedom of belief, conscience and religion includes the right to accept and manifest religion, the right to express personal beliefs and the right to ..."
1,First Amendment,23,0.16281207,South Sudan,world_constitution_south_sudan_2013_article_190_0004,world_constitution_south_sudan_2013_article_190,South Sudan's Constitution of 2011 with Amendments through 2013 - Article 190,https://www.constituteproject.org/service/html?cons_id=South_Sudan_2013&lang=en,"to teach religion or beliefs in places suitable for these purposes; the right to solicit and receive voluntary financial and other contributions from individuals, private and public institutions; the right to train, appoint, elect or designate by succession appropriate religious ..."
1,First Amendment,24,0.16210632,Algeria,world_constitution_algeria_2020_article_i_0009,world_constitution_algeria_2020_article_i,Algeria's Constitution of 2020 - Article I,https://www.constituteproject.org/service/html?cons_id=Algeria_2020&lang=en,be guaranteed. Freedom of association and public assembly shall be guaranteed upon obtaining a permit. The law shall determine the modalities for exercising these freedoms. ART 53 The right to form associations shall be guaranteed upon obtaining a permit. An ...
1,First Amendment,25,0.16194572,Ghana,world_constitution_ghana_1996_preamble_0014,world_constitution_ghana_1996_preamble,Ghana's Constitution of 1992 with Amendments through 1996 - Preamble,https://www.constituteproject.org/service/html?cons_id=Ghana_1996&lang=en,"Where the property is not used in the public interest or for the purpose for which it was acquired, the owner of the property immediately before the compulsory acquisition, shall be given the first option for acquiring the property and ..."
2,Second Amendment,1,0.31372653,United States of America,world_constitution_united_states_of_america_1992_article_v_003_0001,world_constitution_united_states_of_america_1992_article_v_003,United States of America's Constitution of 1789 with Amendments through 1992 - Article V,https://www.constituteproject.org/service/html?cons_id=United_States_of_America_1992&lang=en,"concurring, that the following Articles be proposed to the Legislatures of the several States, as Amendments to the Constitution of the United States, all or any of which Articles, when ratified by three fourths of the said Legislatures, to be ..."
2,Second Amendment,2,0.19350593,Bhutan,world_constitution_bhutan_2008_article_28_0000,world_constitution_bhutan_2008_article_28,Bhutan's Constitution of 2008 - Article 28,https://www.constituteproject.org/service/html?cons_id=Bhutan_2008&lang=en,Article 28. Defence The Druk Gyalpo shall be the Supreme Commander in Chief of the Armed Forces and the Militia. The Royal Body Guards shall be responsible for the security of the Druk Gyalpo while the Royal Bhutan Army shall ...
2,Second Amendment,3,0.17010076,Serbia,world_constitution_serbia_2006_article_7_0000,world_constitution_serbia_2006_article_7,Serbia's Constitution of 2006 - Article 7,https://www.constituteproject.org/service/html?cons_id=Serbia_2006&lang=en,"Article 7. Coat of arms, flag and national anthem The Republic of Serbia shall have coat of arms, flag and national anthem. The coat of arms of the Republic of Serbia shall be used in the form of the Large ..."
2,Second Amendment,4,0.16495669,Tonga,world_constitution_tonga_2013_preamble_0004,world_constitution_tonga_2013_preamble,Tonga's Constitution of 1875 with Amendments through 2013 - Preamble,https://www.constituteproject.org/service/html?cons_id=Tonga_2013&lang=en,All the people have the right to expect that the Government will protect their life liberty and property and therefore it is right for all the people to support and contribute to the Government according to law. And if at ...
2,Second Amendment,5,0.16153714,Indonesia,world_constitution_indonesia_2002_article_34_0000,world_constitution_indonesia_2002_article_34,"Indonesia's Constitution of 1945, Reinstated in 1959, with Amendments through 2002 - Article 34",https://www.constituteproject.org/service/html?cons_id=Indonesia_2002&lang=en,Article 34 Impoverished persons and abandoned children shall be taken care of by the State. The State shall develop a system of social security for all of the people and shall empower the inadequate and underprivileged in society in accordance ...
2,Second Amendment,6,0.145191,Ecuador,world_constitution_ecuador_2021_article_34_0000,world_constitution_ecuador_2021_article_34,Ecuador's Constitution of 2008 with Amendments through 2021 - Article 34,https://www.constituteproject.org/service/html?cons_id=Ecuador_2021&lang=en,"Article 34 The right to social security is a right of all persons and it cannot be waived, and it shall be the State that must bear the prime duty and responsibility for this right. Social security shall be governed ..."
2,Second Amendment,7,0.14183066,Croatia,world_constitution_croatia_2013_article_11_0000,world_constitution_croatia_2013_article_11,Croatia's Constitution of 1991 with Amendments through 2013 - Article 11,https://www.constituteproject.org/service/html?cons_id=Croatia_2013&lang=en,"Article 11 The coat-of-arms of the Republic of Croatia is the historic Croatian coat-of-arms whose base consists of 25 alternating red and white (argent) fields. The flag of the Republic of Croatia consists of three colors: red, white and blue, ..."
2,Second Amendment,8,0.14112551,Algeria,world_constitution_algeria_2020_article_i_0001,world_constitution_algeria_2020_article_i,Algeria's Constitution of 2020 - Article I,https://www.constituteproject.org/service/html?cons_id=Algeria_2020&lang=en,"shall be ""Qassaman"" with all its stanzas. The seal of the State shall be determined by law. CHAPTER II. THE PEOPLE ART 7 The people shall be the source of all powers. National sovereignty shall belong exclusively to the people. ..."
2,Second Amendment,9,0.13999216,Kazakhstan,world_constitution_kazakhstan_2017_article_3_0000,world_constitution_kazakhstan_2017_article_3,Kazakhstan's Constitution of 1995 with Amendments through 2017 - Article 3,https://www.constituteproject.org/service/html?cons_id=Kazakhstan_2017&lang=en,Article 3 The people shall be the only source of state power. The people shall exercise power directly through an all-nation referendum and free elections as well as delegate the execution of their power to state institutions. Nobody shall have ...
2,Second Amendment,10,0.1394337,Mexico,world_constitution_mexico_2015_article_5_0000,world_constitution_mexico_2015_article_5,Mexico's Constitution of 1917 with Amendments through 2015 - Article 5,https://www.constituteproject.org/service/html?cons_id=Mexico_2015&lang=en,"Article 5 No person may be prevented from performing the profession, industry, business or work of his choice, provided that it is lawful. This right may only be banned by judicial resolution, when third parties’ rights are infringed, or by ..."
2,Second Amendment,11,0.1320439,Angola,world_constitution_angola_2010_article_202_0000,world_constitution_angola_2010_article_202,Angola's Constitution of 2010 - Article 202,https://www.constituteproject.org/service/html?cons_id=Angola_2010&lang=en,"Article 202. (Objectives and grounds for national security) The state, with the involvement of citizens, shall be responsible for guaranteeing national security, observing the Constitution, the law and any international instruments to which Angola is a party. The objective of ..."
