us_chunk_id,us_title,country,match_count,best_score,mean_score
us_constitution_1787_article_1_0000,Constitution of the United States - Article 1,United States of America,24,0.99166516,0.36829961
us_constitution_1787_article_1_0005,Constitution of the United States - Article 1,United States of America,26,0.98843991,0.27953596
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,United States of America,3,0.98735844,0.62484221
us_constitution_1787_article_1_0001,Constitution of the United States - Article 1,United States of America,22,0.98022893,0.37369152
us_constitution_1787_article_1_0002,Constitution of the United States - Article 1,United States of America,22,0.971507,0.36551165
us_constitution_1787_article_1_0006,Constitution of the United States - Article 1,United States of America,26,0.96920162,0.31873705
us_constitution_1787_article_1_0007,Constitution of the United States - Article 1,United States of America,20,0.96836625,0.26822047
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,United States of America,15,0.96450034,0.41530195
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Philippines,2,0.64673458,0.51786952
us_constitution_1787_article_1_0002,Constitution of the United States - Article 1,Philippines,4,0.57817224,0.36952411
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Philippines,4,0.51671675,0.39665863
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Belarus,1,0.4740777,0.4740777
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Mexico,2,0.45005486,0.42841444
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Liberia,1,0.44096025,0.44096025
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Thailand,4,0.4230771,0.38444547
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Nigeria,6,0.41763031,0.36655133
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Nepal,3,0.40691095,0.39154999
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Jamaica,2,0.4051321,0.37458413
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Trinidad and Tobago,3,0.40170043,0.36325268
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Bhutan,1,0.39274443,0.39274443
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Micronesia (Federated States of),1,0.38602234,0.38602234
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Eswatini,1,0.38285268,0.38285268
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Trinidad and Tobago,4,0.3823682,0.37601641
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Grenada,2,0.37397902,0.37374011
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Malaysia,2,0.36857563,0.35562721
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Barbados,2,0.36706386,0.36355229
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Japan,1,0.36481266,0.36481266
us_constitution_1787_article_1_0000,Constitution of the United States - Article 1,Australia,4,0.36213534,0.29743149
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Antigua and Barbuda,3,0.36196533,0.35834863
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Bahamas (The),1,0.36111877,0.36111877
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Nigeria,6,0.36078638,0.32980901
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Belize,2,0.35908135,0.35427146
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Zimbabwe,1,0.35777895,0.35777895
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Saint Lucia,2,0.3552467,0.35071641
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,India,1,0.35491442,0.35491442
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Belize,4,0.35405439,0.32667741
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Australia,1,0.34880157,0.34880157
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Malaysia,4,0.34687415,0.32352096
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Ireland,1,0.34656381,0.34656381
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Pakistan,1,0.34531073,0.34531073
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,Colombia,1,0.34227441,0.34227441
us_constitution_1787_article_1_0004,Constitution of the United States - Article 1,United Kingdom,1,0.34046943,0.34046943
us_constitution_1787_article_1_0002,Constitution of the United States - Article 1,Liberia,1,0.33529549,0.33529549
us_constitution_1787_article_1_0003,Constitution of the United States - Article 1,Saint Lucia,1,0.33503192,0.33503192
us_constitution_1787_article_1_0001,Constitution of the United States - Article 1,Australia,7,0.33260153,0.28609694
