name,state,signed,authored_chunks,mention_chunks,total_mentions,collision_word,survival,status,priority,have_authored_corpus,internet_archive_ids,pd_source
George Washington,Virginia,True,6336,10395,26540,False,rich,authored-good,0,True,,"Founders Online (complete) + Writings of George Washington (Ford, 13 vols, ingested)"
Alexander Hamilton,New York,True,4747,5997,15697,False,rich,authored-good,0,True,,"Works of Alexander Hamilton (already ingested, 11 vols) + Founders Online"
James Madison,Virginia,True,3581,6118,14369,False,rich,authored-good,0,True,,"Founders Online (complete) + Letters and Other Writings (4 vols, ingested)"
George Mason,Virginia,False,4,929,1298,True,rich,mentions-only,1,False,lifeofgeorgemaso01rowl;lifeofgeorgemaso02rowl,"K. M. Rowland, The Life of George Mason, with his papers (2 vols, PD); Objections (have)"
Benjamin Franklin,Pennsylvania,True,2,1278,1813,False,rich,mentions-only,1,False,writingsofbenjam01franuoft;writingsofbenjam09franuoft,"Founders Online (complete) + Writings of Benjamin Franklin (Smyth, 10 vols, PD)"
Elbridge Gerry,Massachusetts,False,0,1111,1853,False,rich,mentions-only,1,False,lifeofelbridgege01aust;lifeofelbridgege02aust,"Life of Elbridge Gerry, with contemporary letters (J. T. Austin, 2 vols, PD)"
Gouverneur Morris,Pennsylvania,True,0,600,763,True,rich,mentions-only,1,False,diarylettersofgo01morr;diarylettersofgo02morr,"The Diary and Letters of Gouverneur Morris (ed. A. C. Morris, 2 vols, PD)"
James Wilson,Pennsylvania,True,0,939,1294,True,rich,mentions-only,1,False,worksofhonjames01wils;worksofhonjames02wils,"The Works of James Wilson (ed. Bird Wilson / Andrews, PD)"
John Dickinson,Delaware,True,0,583,903,False,rich,mentions-only,1,False,writingsofjohndi01dick,"The Writings of John Dickinson (ed. Ford, PD); Letters of Fabius"
Robert Morris,Pennsylvania,True,0,2290,3941,True,rich,mentions-only,1,False,financierfinance01sumn;financierfinance02sumn,"Letters of Delegates; Sumner, The Financier and the Finances of the American Revolution (PD)"
Rufus King,Massachusetts,True,0,2851,4304,True,rich,mentions-only,1,False,lifecorrespond01kinggoog;lifecorrespond02kinggoog;lifecorrespond03kinggoog;lifecorrespondenc04kinguoft;lifecorrespondenc05kinguoft;lifecorrespondenc06kinguoft,"The Life and Correspondence of Rufus King (ed. C. R. King, 6 vols, PD)"
William Livingston,New Jersey,True,0,1149,1807,False,rich,mentions-only,1,False,memoiroflifeofwi00sedg,"Sedgwick, A Memoir of the Life of William Livingston, with letters (PD)"
Robert Yates,New York,False,16,307,465,False,moderate,authored-partial,2,False,secretproceeding00conv,"Secret Proceedings and Debates of the Convention (Yates's notes, PD); Brutus essays (attrib.)"
Edmund Randolph,Virginia,False,0,1474,2154,False,moderate,mentions-only,2,False,omittedchapterso00conw,"Letter on the Federal Constitution (PD); Moncure Conway, Omitted Chapters of History (PD)"
