name,state,survival,downloaded_or_cached_sources,failed_sources,combined_word_count,bundle_manifest,combined_text,internet_archive_targets,has_loc_collection,pd_source
John Langdon,New Hampshire,moderate,0,0,25,data/delegates/all_delegate_information/john_langdon/manifest.json,data/delegates/all_delegate_information/john_langdon/combined.txt,0,True,Letters of Delegates to Congress; scattered NH state-archive letters
Nicholas Gilman,New Hampshire,minimal,0,0,26,data/delegates/all_delegate_information/nicholas_gilman/manifest.json,data/delegates/all_delegate_information/nicholas_gilman/combined.txt,0,True,Letters of Delegates to Congress only; few personal papers survive
Nathaniel Gorham,Massachusetts,minimal,0,0,21,data/delegates/all_delegate_information/nathaniel_gorham/manifest.json,data/delegates/all_delegate_information/nathaniel_gorham/combined.txt,0,True,Letters of Delegates to Congress; sparse
Rufus King,Massachusetts,rich,6,0,1410587,data/delegates/all_delegate_information/rufus_king/manifest.json,data/delegates/all_delegate_information/rufus_king/combined.txt,6,True,"The Life and Correspondence of Rufus King (ed. C. R. King, 6 vols, PD)"
Elbridge Gerry,Massachusetts,rich,2,0,228627,data/delegates/all_delegate_information/elbridge_gerry/manifest.json,data/delegates/all_delegate_information/elbridge_gerry/combined.txt,2,True,"Life of Elbridge Gerry, with contemporary letters (J. T. Austin, 2 vols, PD)"
Caleb Strong,Massachusetts,minimal,0,1,25,data/delegates/all_delegate_information/caleb_strong/manifest.json,data/delegates/all_delegate_information/caleb_strong/combined.txt,1,True,Patriotism and Piety / select addresses (PD); few personal papers
William Samuel Johnson,Connecticut,moderate,0,1,24,data/delegates/all_delegate_information/william_samuel_johnson/manifest.json,data/delegates/all_delegate_information/william_samuel_johnson/combined.txt,1,True,Letters of Delegates to Congress; Beardsley life-and-times (PD)
Roger Sherman,Connecticut,moderate,0,1,28,data/delegates/all_delegate_information/roger_sherman/manifest.json,data/delegates/all_delegate_information/roger_sherman/combined.txt,1,True,Letters of a Countryman / Sherman essays; Boutell Life of Roger Sherman (PD)
Oliver Ellsworth,Connecticut,moderate,1,0,113328,data/delegates/all_delegate_information/oliver_ellsworth/manifest.json,data/delegates/all_delegate_information/oliver_ellsworth/combined.txt,1,True,Letters of a Landholder (Ellsworth); Brown Life of Oliver Ellsworth (PD)
Alexander Hamilton,New York,rich,12,0,2205581,data/delegates/all_delegate_information/alexander_hamilton/manifest.json,data/delegates/all_delegate_information/alexander_hamilton/combined.txt,12,True,"Works of Alexander Hamilton (Lodge, 12 vols) + Founders Online"
John Lansing Jr.,New York,moderate,0,1,29,data/delegates/all_delegate_information/john_lansing_jr/manifest.json,data/delegates/all_delegate_information/john_lansing_jr/combined.txt,1,True,Lansing's Notes of the Federal Convention (ed. Strayer); Yates/Lansing secret proceedings (PD)
Robert Yates,New York,moderate,0,1,29,data/delegates/all_delegate_information/robert_yates/manifest.json,data/delegates/all_delegate_information/robert_yates/combined.txt,1,True,"Secret Proceedings and Debates of the Convention (Yates's notes, PD); Brutus essays (attrib.)"
William Livingston,New Jersey,rich,1,0,114963,data/delegates/all_delegate_information/william_livingston/manifest.json,data/delegates/all_delegate_information/william_livingston/combined.txt,1,True,"Sedgwick, A Memoir of the Life of William Livingston, with letters (PD)"
David Brearley,New Jersey,minimal,0,0,24,data/delegates/all_delegate_information/david_brearley/manifest.json,data/delegates/all_delegate_information/david_brearley/combined.txt,0,True,Few papers survive; Convention vote-records and scattered letters
William Paterson,New Jersey,moderate,0,0,25,data/delegates/all_delegate_information/william_paterson/manifest.json,data/delegates/all_delegate_information/william_paterson/combined.txt,0,True,"Paterson's Convention notes (Farrand vol. supplements, PD); judicial papers"
Jonathan Dayton,New Jersey,minimal,0,0,21,data/delegates/all_delegate_information/jonathan_dayton/manifest.json,data/delegates/all_delegate_information/jonathan_dayton/combined.txt,0,True,Scattered correspondence; Letters of Delegates
William Churchill Houston,New Jersey,minimal,0,0,24,data/delegates/all_delegate_information/william_churchill_houston/manifest.json,data/delegates/all_delegate_information/william_churchill_houston/combined.txt,0,True,Letters of Delegates to Congress; very sparse
