name,state,signed_constitution,matching_chunks,total_mentions,top_source_collections,top_documents
John Langdon,New Hampshire,True,92,116,farrands_records:45; founders_correspondence:39; madisons_notes:31; constitution:1,madison_debates_complete_avalon:31; farrand_records_vol_2:16; farrand_records_vol_1:15; farrand_records_vol_3:14; jefferson_writings_vol_1:4
Nicholas Gilman,New Hampshire,True,42,63,farrands_records:56; founders_correspondence:4; madisons_notes:2; constitution:1,farrand_records_vol_1:21; farrand_records_vol_2:18; farrand_records_vol_3:17; hamilton_works_vol_9:3; madison_debates_complete_avalon:2
Nathaniel Gorham,Massachusetts,True,75,91,farrands_records:55; madisons_notes:26; founders_correspondence:9; constitution:1,madison_debates_complete_avalon:26; farrand_records_vol_1:19; farrand_records_vol_2:19; farrand_records_vol_3:17; madison_letters_vol_1:3
Rufus King,Massachusetts,True,1730,2645,founders_correspondence:1919; farrands_records:442; madisons_notes:149; anti_federalist:95; federalist_papers:38,jefferson_writings_vol_2:241; jefferson_writings_vol_1:185; farrand_records_vol_2:156; washington_writings_vol_1:155; madison_debates_complete_avalon:147
Elbridge Gerry,Massachusetts,False,440,775,farrands_records:442; madisons_notes:204; founders_correspondence:129,madison_debates_complete_avalon:203; farrand_records_vol_1:152; farrand_records_vol_2:149; farrand_records_vol_3:141; jefferson_writings_vol_4:33
Caleb Strong,Massachusetts,False,1389,1561,founders_correspondence:1171; farrands_records:244; anti_federalist:58; madisons_notes:48; federalist_papers:40,farrand_records_vol_1:84; farrand_records_vol_2:84; farrand_records_vol_3:76; henry_speeches_virginia_1788:57; jefferson_writings_vol_4:50
William Samuel Johnson,Connecticut,True,255,332,founders_correspondence:206; farrands_records:86; madisons_notes:34; anti_federalist:5; constitution:1,madison_debates_complete_avalon:34; farrand_records_vol_2:30; farrand_records_vol_1:28; farrand_records_vol_3:28; washington_writings_vol_2:24
Roger Sherman,Connecticut,True,246,365,madisons_notes:193; farrands_records:137; founders_correspondence:27; anti_federalist:7; constitution:1,madison_debates_complete_avalon:183; farrand_records_vol_2:48; farrand_records_vol_1:47; farrand_records_vol_3:42; madison_debates_1787_07_17:10
Oliver Ellsworth,Connecticut,False,99,133,farrands_records:96; founders_correspondence:35; madisons_notes:1; anti_federalist:1,farrand_records_vol_1:33; farrand_records_vol_2:33; farrand_records_vol_3:30; madison_letters_vol_4:7; hamilton_works_vol_9:5
Alexander Hamilton,New York,True,5181,13831,founders_correspondence:12687; federalist_papers:656; farrands_records:431; madisons_notes:51; anti_federalist:5,hamilton_works_vol_10:1327; hamilton_works_vol_7:1277; hamilton_works_vol_9:1189; hamilton_works_vol_4:1092; hamilton_works_vol_8:1054
John Lansing Jr.,New York,False,109,133,farrands_records:94; founders_correspondence:31; madisons_notes:8,farrand_records_vol_1:32; farrand_records_vol_2:32; farrand_records_vol_3:30; madison_debates_complete_avalon:8; hamilton_works_vol_8:8
Robert Yates,New York,False,192,253,farrands_records:152; founders_correspondence:72; anti_federalist:17; madisons_notes:11; federalist_papers:1,farrand_records_vol_1:54; farrand_records_vol_2:53; farrand_records_vol_3:45; madison_letters_vol_4:22; brutus_essays:17
William Livingston,New Jersey,True,405,550,founders_correspondence:458; farrands_records:83; madisons_notes:8; constitution:1,jefferson_writings_vol_8:63; madison_letters_vol_2:38; jefferson_writings_vol_4:37; washington_writings_vol_6:35; washington_writings_vol_4:34
David Brearley,New Jersey,True,92,111,farrands_records:92; madisons_notes:16; founders_correspondence:2; constitution:1,farrand_records_vol_1:32; farrand_records_vol_2:31; farrand_records_vol_3:29; madison_debates_complete_avalon:15; us_constitution_1787_article_i:1
William Paterson,New Jersey,True,195,270,farrands_records:112; founders_correspondence:100; madisons_notes:57; constitution:1,madison_debates_complete_avalon:46; farrand_records_vol_1:39; farrand_records_vol_2:39; farrand_records_vol_3:34; washington_writings_vol_4:20
Jonathan Dayton,New Jersey,True,136,192,farrands_records:113; founders_correspondence:58; madisons_notes:20; constitution:1,farrand_records_vol_2:42; farrand_records_vol_1:38; farrand_records_vol_3:33; madison_debates_complete_avalon:20; hamilton_works_vol_10:11
William Churchill Houston,New Jersey,False,47,61,farrands_records:37; madisons_notes:19; founders_correspondence:5,madison_debates_complete_avalon:16; farrand_records_vol_1:13; farrand_records_vol_2:13; farrand_records_vol_3:11; madison_debates_1787_07_17:3
Benjamin Franklin,Pennsylvania,True,527,704,founders_correspondence:422; farrands_records:227; madisons_notes:51; anti_federalist:3; constitution:1,jefferson_writings_vol_1:102; farrand_records_vol_2:80; farrand_records_vol_1:79; farrand_records_vol_3:68; madison_debates_complete_avalon:50
Thomas Mifflin,Pennsylvania,True,189,223,founders_correspondence:182; farrands_records:38; madisons_notes:2; constitution:1,washington_writings_vol_6:58; washington_writings_vol_5:34; hamilton_works_vol_6:18; farrand_records_vol_2:14; farrand_records_vol_3:13
Robert Morris,Pennsylvania,True,947,1473,founders_correspondence:746; madisons_notes:395; farrands_records:330; constitution:2,madison_debates_complete_avalon:379; farrand_records_vol_1:115; farrand_records_vol_2:114; farrand_records_vol_3:101; washington_writings_vol_11:89
George Clymer,Pennsylvania,True,48,56,farrands_records:27; founders_correspondence:15; madisons_notes:13; constitution:1,madison_debates_complete_avalon:13; farrand_records_vol_3:11; farrand_records_vol_2:9; farrand_records_vol_1:7; washington_writings_vol_5:5
Thomas Fitzsimons,Pennsylvania,True,14,14,farrands_records:12; constitution:1; founders_correspondence:1,farrand_records_vol_1:4; farrand_records_vol_2:4; farrand_records_vol_3:4; us_constitution_1787_article_i:1; washington_writings_vol_12:1
Jared Ingersoll,Pennsylvania,True,64,70,founders_correspondence:43; farrands_records:26; constitution:1,madison_letters_vol_4:20; madison_letters_vol_2:10; farrand_records_vol_1:9; farrand_records_vol_3:9; madison_letters_vol_3:9
James Wilson,Pennsylvania,True,414,562,madisons_notes:254; farrands_records:184; founders_correspondence:106; anti_federalist:17; constitution:1,madison_debates_complete_avalon:246; farrand_records_vol_1:63; farrand_records_vol_2:61; farrand_records_vol_3:60; henry_speeches_virginia_1788:9
Gouverneur Morris,Pennsylvania,True,204,249,founders_correspondence:171; farrands_records:76; madisons_notes:2,farrand_records_vol_3:36; hamilton_works_vol_9:27; farrand_records_vol_1:22; hamilton_works_vol_10:20; farrand_records_vol_2:18
George Read,Delaware,True,1289,1583,founders_correspondence:1065; farrands_records:317; madisons_notes:126; anti_federalist:70; federalist_papers:4,madison_debates_complete_avalon:121; jefferson_writings_vol_7:115; farrand_records_vol_1:108; farrand_records_vol_2:106; farrand_records_vol_3:103
Gunning Bedford Jr.,Delaware,True,100,126,founders_correspondence:74; farrands_records:29; madisons_notes:22; constitution:1,madison_debates_complete_avalon:19; washington_writings_vol_9:11; farrand_records_vol_1:10; farrand_records_vol_2:10; jefferson_writings_vol_5:10
John Dickinson,Delaware,True,180,234,founders_correspondence:111; farrands_records:95; madisons_notes:26; constitution:1; anti_federalist:1,farrand_records_vol_2:34; farrand_records_vol_1:33; farrand_records_vol_3:28; madison_debates_complete_avalon:26; washington_writings_vol_7:17
Richard Bassett,Delaware,True,90,123,founders_correspondence:94; farrands_records:26; anti_federalist:2; constitution:1,washington_writings_vol_2:57; farrand_records_vol_1:9; farrand_records_vol_2:9; farrand_records_vol_3:8; washington_writings_vol_10:8
Jacob Broom,Delaware,True,44,49,farrands_records:23; founders_correspondence:17; madisons_notes:8; constitution:1,jefferson_writings_vol_9:13; farrand_records_vol_1:8; farrand_records_vol_2:8; madison_debates_complete_avalon:7; farrand_records_vol_3:7
